Title,Company,Location,Created,Description
Data Analyst,Persistent Systems,India,2026-06-04T16:50:33Z,About Position: Persistent Systems is seeking a seasoned and visionary member to our Business Insights function. This role is critical in transforming enterprise data into strategic insights that influence executive decision-making and drive business value across global units. Role: Data Analyst – FP&A / Business Insights Location: Pune Experience: 3-10 Years Job Type: Full Time Employment What You'll Do: Designing and implementation of enterprise-wide data analytics frameworks to support strat…
Data Analyst,SourceFuse,"Noida, Ghaziabad",2026-04-23T17:46:09Z,"SourceFuse is looking for a highly proactive and business-oriented Data Analyst (DOMO) with 6 years of experience who can go beyond reporting to drive insights, influence decisions, and shape scalable data-driven solutions for client. Preferred Location: Noida/Mohali This role requires someone who can: ● Lead stakeholder conversations ● Translate ambiguous business problems into structured analytical solutions ● Bring a strong understanding of financial analytics (budgeting, planning, cost anal…"
Data Analyst,ADP,India,2026-05-20T07:21:44Z,"Data Analytics (Job Code: Business Intelligence) Experience & Skills requirements: 3 to 5 years of IT Industry experience with deep focus in BI or data warehousing or any analytics projects Experience in Business Intelligence is mandatory Post-graduation from reputed institutes would be preferred Experience in Business Analysis or Quality Assurance in BI or Analytics programs, with at least one end-to-end implementation Querying and Analyzing data: Ability to deep dive into data sources for dat…"
Senior Data Analyst,"Enterprise Minds, Inc","Bangalore, Karnataka",2026-06-12T00:13:52Z,"Job Description – Data Analyst (E-commerce Focus) Role: Senior Data Analyst Experience: 5 -8 Years Employment Type: Full Time Role Overview We are seeking a detail-oriented and analytical Data Analyst with strong experience in the e-commerce domain. The role requires analyzing customer behavior, sales performance, and operational metrics to generate actionable insights that drive business growth. The ideal candidate should be proficient in data analysis, reporting, and visualization while worki…"
Senior Data Analyst,Insight Global,"Hyderabad, Telangana",2026-06-01T10:24:08Z,"Required Skills & Experience Must Haves: • 5 years of experience as a Technical Analyst or Data Engineering Analyst in financial services (Asset Management Preferred) • 5 years of experience with Oracle relational database technologies • Strong Experience with SQL Server • Proficiency in querying for data extraction, validation, and troubleshooting. • Proficient/advanced Excel capabilities including pivot tables, advanced formulas, data modeling, and analysis for large datasets. • Experience wo…"
Senior Data Analyst,Kamakhya Analytics Private Limited,"Bangalore, Karnataka",2026-06-06T17:27:15Z,"JOB DESCRIPTION - SENIOR DATA ANALYST Location: Bangalore-Hybrid Department : Analytics Team : Survey Insights and Reporting About the Company: Kamakhya Analytics is a technology-driven research and consulting organisation helping leaders, parties, and institutions decode India’s political and policy landscape. We bring together survey science, data analytics, and strategic insight to answer complex questions about public opinion, governance, and performance. From ground-level fieldwork to adva…"
Senior Data Analyst,MS CLINICAL RESEARCH,"Bangalore, Karnataka",2026-05-26T20:10:41Z,"Job Title: Senior Data Analyst – Team Lead Experience: 8 Years Department: Data Analytics / Clinical Data Analytics Location: Domlur, Bangalore Reporting To: Director Role Overview We are seeking an experienced Senior Data Analyst – Team Lead to oversee data analytics operations, lead a team of analysts, and ensure delivery of high-quality, data-driven insights. The role requires strong leadership, project management, and hands-on analytical capabilities, particularly in handling clinical/study…"
Marketing Data Analyst,BIG Language Solutions,India,2026-05-01T17:01:01Z,"Job Title: Marketing Data Analyst Experience Required: 3 years Location: India (Remote) Travel required: Occasional Reports to: VP, Marketing & Sales Enablement Employment Type: Full-Time Goal of Position: The Marketing Analyst will provide dedicated support for marketing data, reporting, and analysis across campaigns, RFPs, and business initiatives. This role will act as the primary steward of marketing data, ensuring that information is accurate, consistent, complete, and fit for use across r…"
Lead Data Analyst,Digitas India,"Mumbai, Maharashtra",2026-06-10T18:04:04Z,"Role- Lead Data Analyst Experience: 5-8 years in Google Analytics Implementation Qualification: Google Analyst certified, BE/B.tech/M.tech/BCA/MCA Primary Skills: Very strong skills in Google Analytics 360, Google Tag Manager 360 and GA4 (GTM and GA) Good Knowledge Firebase and Mobile Analytics Tagging Data Studio Experience in working on Big Query/SQL for GA data Adobe Analytics Strong Technical knowledge in implementation of Google Analytics Is mandatory Good in JS skills is must as he need t…"
Remote Data Analyst,Turing,"Bangalore, Karnataka",2026-06-13T18:47:19Z,"About Turing: Based in San Francisco, California, Turing is the world’s leading research accelerator for frontier AI labs and a trusted partner for global enterprises deploying advanced AI systems. Turing supports customers in two ways: first, by accelerating frontier research with high-quality data, advanced training pipelines, plus top AI researchers who specialize in coding, reasoning, STEM, multilinguality, multimodality, and agents; and second, by applying that expertise to help enterprise…"
